UserName	Date	Time	Longitude	Latitude	Tweet
Quincy Harris	2016-04-16	10:48	-76.24163378	38.96598735	get boat move jetti dock bar https//tco/m97s0a638
FABIAN BERTUNA	2016-04-16	10:48	-81.7964754	26.4300957	@rere_76804 ye heard lol guess never get hear onebut way show support
Michael Fontanilla	2016-04-16	10:48	-80.12667365	26.30554508	cell scienc system @thealcattest deerfield beach fl https//tco/lahboxl55h
Earthquake Alerts	2016-04-16	7:35	-118.623	37.461	16 magnitud #earthquak 19 km #westbishop ca unit state https//tco/na4vaxs6zq
NorCal Earthquakes	2016-04-16	3:31	-122.8083344	38.8354988	usg report m0 69 #earthquak 7km wnw cobb california 4/16 16 327 42 utc https//tco/cgyio6jbck #quak
NWS Severe Tstorm	2016-04-16	3:31	-101.7755925	36.86346426	sever thunderstorm warn includ eva ok hough ok 1115 pm cdt https//tco/kf3pcyhbjk
Every Earthquake	2016-04-16	3:31	-122.8083344	38.8354988	usg report m0 69 #earthquak 7km wnw cobb california 4/16 16 327 42 utc https//tco/qumvrug7el #quak
Egan Orthodontics	2016-04-16	3:30	-72.97744866	40.77429516	post photo egan orthodont https//tco/2rb90kawjj
CDWarehouse	2016-04-16	3:30	-97.114454	32.72463	well goodnight happi hunt everybodi tomorrow wherev may go hope cya https//tco/aeyqey7cu3
Michelle Shaw	2016-04-16	3:30	-75.10555043	40.00678143	sure ever work hard ever life
victoria ashby	2016-04-16	3:30	-78.86855006	42.89682244	famili ulrich tavern https//tco/b1fps2aya5
Allie Gerber	2016-04-16	3:30	-90.444999	38.670391	next car  #bmwi8 #electriccar #plazabmw #askbelieverec market https//tco/hu368gwm15
FABIAN BERTUNA	2016-04-16	3:30	-117.9211603	33.81021891	girl talent disneyland california adventur https//tco/sc90gfiich
nikkie	2016-04-16	3:30	-86.77666285	36.16110127	broadway brewhous nashvil tn https//tco/m0794f1ekv
wellhellocowboy	2016-04-16	3:30	-84.29905988	33.93359368	alex nana swing #goodtim #lemonadeday #thisboyhasmyheart #shenanigan https//tco/nsuxucqixc
Regan Moore	2016-04-16	3:30	-81.17696	34.07009079	plant sale get garden grow #teamigrow #imsscienc #farmtoschool irmo middl https//tco/7bbcec4zbi
Dalifurufur	2016-04-16	3:30	-116.24259	33.67821	post photo coachella fest https//tco/mwsltatkeo
Patricia Snyder	2016-04-16	3:30	-123.0122619	37.69931619	water creat let fowl place land seed creat grass may land move morn
John Mathews	2016-04-16	3:30	-93.79194444	32.47555556	look forward catch anoth show sometim  #nitrocircu #nitrocircusl #shreveport https//tco/8k0j9x5phd
Katie Kroll	2016-04-16	3:30	-97.0685	36.1215	child cute  stillwat oklahoma https//tco/pyagvboj5w
Danny Salazar A.	2016-04-16	3:30	-80.42780662	25.63585795	el ap stol @apostolgm ens ando lo j vene hambriento de dio ministerio internacion el https//tco/1bxlwmimzd
R Bear Karito	2016-04-16	3:30	-73.9592	40.6207	love cosmic_travesti thank flower love https//tco/dvmxszvbma
DJ TACO	2016-04-16	3:30	-95.21312603	29.66485873	@thuglifenessa via repostwhiz app @showdjtaco @djtaco713 https//tco/4ncgyy7dbi
ThePersonalStash	2016-04-16	3:30	-117.29395	34.08845	gotta love @cloudvap #butanefre electron dab rig heat perfect without burn https//tco/7p8xb0oa8v
clyde415	2016-04-16	3:30	-122.24314	37.8113699	tapa boqueron pickl pepper anchovi oliv shakewel https//tco/sn4vinipef
511 New York	2016-04-16	3:30	-73.991653	40.749717	updat incid #ronkonkomabranch eb new york penn station https//tco/2vlhd1fgcl
Salvador Garza	2016-04-16	3:30	-99.149503	19.394359	finish cycl 853 km 4h 40m 00 #endomondo #endorphin https//tco/awzxzwnxrk
THISISGRAPHIKFILMS	2016-04-16	3:30	-77.4679031	37.5682793	book session witt brother @clefmajorz @soundofmusicrva https//tco/plum5ao8gh
Saul Olivas	2016-04-16	3:30	-106.438036	23.23882238	la gran plaza mazatl n sin https//tco/8htyuxrcm8
Sean L. Craig	2016-04-16	3:30	-88.6	42.2425	excel nose littl funki drink sauv blanc barrel age maitris sheryl john awesom pad https//tco/ng61gyjd3i
Becky Chaffee	2016-04-16	3:30	-93.2760799	44.97827	mschwandt  get #whitelightriot first avenu 7th st entri https//tco/t2atdov08g
Jesús León Jr.	2016-04-16	3:30	-110.9754732	29.08872722	tiendasoxxo en bah de kino bahia de kino https//tco/6ua29ri4rm
Kyiakhalid	2016-04-16	3:30	-103.851776	20.881742	estoy enamorado con la diosa del agav destileria rubio tequila jalisco https//tco/hoktbejgm
Pabeℓℓo	2016-04-16	3:30	-98.94570923	19.41864777	teatro auditorio acolmixtli nezahualcoyotl https//tco/ckl8wl2koj
Dénouement	2016-04-16	3:30	-104.9874839	39.86888143	psa winter storm come cdot prepar april 15 2016 25 https//tco/xsdfruvhdg
Big Dome	2016-04-16	3:30	-82.44231	27.96032	post photo reservoir bar https//tco/s2gwms6ctk
CORY PAUL MARTIN	2016-04-16	3:30	-73.9721	40.76552	stole night @thepierreni #savevenic @dolcegabbana https//tco/dvcfajkdl7
Miguel A. Hernandez	2016-04-16	3:30	-99.2097252	19.34082392	bam bam burger https//tco/5hx3stahbo https//tco/vqaqyspk1
Dr. Joseph Santoro	2016-04-16	3:30	-75.05503144	38.45124959	fenwick island lighthous fenwick island de https//tco/xuqjctu847
El	2016-04-16	3:30	-84.34192558	33.77576344	shoutout hot date drive 6 hour come como day half even though https//tco/cdzkpewhbm
Jeremy Bates	2016-04-16	3:30	-99.9622	49.8381	drink honker ale @gooseisland tea https//tco/xkqel9uz1t
Orion Ng	2016-04-16	3:30	-97.13972222	49.80916667	score remain knot 1 gun fire 3rd period https//tco/5pvkjjpo8q
Francisco Garcia	2016-04-16	3:30	-84.29777778	33.77138889	@kylemohan mx5 beauti piec @mssrfcali #fdlb #formuladrift https//tco/holpbddba4
Ter	2016-04-16	3:30	-84.47112998	42.7239961	put word amaz tonight hard work final paid https//tco/l0tv8fzsup
Lb	2016-04-16	3:30	-81.53627499	41.44987145	get along wit nobodi crazi harvard ave https//tco/ujxd5gktja
Natalina  Campagnolo	2016-04-16	3:30	-80.2867966	43.5801735	chicken parmigiana   #homemad la cucina di natalina italian cook school https//tco/jczbxvniz5
✨Caitlyn Juhl✨	2016-04-16	3:30	-92.917172	43.373169	alway good bad day today bad day suffer leg pain https//tco/eyadxb6cdi
tania aketzali	2016-04-16	3:30	-99.14666654	19.32265278	vine por la cena quesadilla chayo ciudad de xico distrito feder https//tco/tv2kbpxw36
Mel Smith Makeup	2016-04-16	3:30	-84.6942399	33.8726	3 great product 3 amaz women @themakeupbullet @dablot @melsmithmakeup women https//tco/rcj1v6ywf1
Regina Falange	2016-04-16	3:30	-99.14695841	19.43520152	huarach al pastor challeng accept el caif n https//tco/owkkpflegh https//tco/oyev5mwiwz
Police Calls 32822	2016-04-16	3:30	-81.3084614	28.493043	#suspiciousperson 4984 whaler way #orlpol #opd
Ashleigh	2016-04-16	3:30	-81.15947096	34.08708535	love spend friday night er nolan broke https//tco/pint1cphi4
Police Calls 32807	2016-04-16	3:30	-81.311918	28.537973	#commercialalarm 5600 lake underhil rd #orlpol #opd
tmwhickman	2016-04-16	3:30	-98.52711987	29.52234191	courtney great power decept demur antonian colleg preparatori https//tco/y3edvgjpz5
Police Calls 32804	2016-04-16	3:30	-81.3886998	28.5723252	#housebusinesscheck 2305 edgewat dr #orlpol #opd
Alex Sircy	2016-04-16	3:30	-88.32275261	36.6131102	turn lecra sick @lecra @alex_sirci lovett auditorium https//tco/qykdmxlzs
SofterThanCotton	2016-04-16	3:30	-75.24193262	39.95660264	studio 7 loung philadelphia pa https//tco/paelzax3rg
TOSFHQ O⊥S SJ	2016-04-16	3:30	-79.42759554	43.64039677	@1upvanngu 1 van vanilton
Axel GQ	2016-04-16	3:30	-103.3879352	20.72045414	total enorm extinct dinosaur lo arco de zapopan zapopan jal https//tco/cz0zbrriuw https//tco/1xfhxrumyu
becca	2016-04-16	3:30	-79.41396944	44.61602279	@katie_vbrown best mate <3 couchich park https//tco/4brlljxieh
Superior Spider-Dave	2016-04-16	3:30	-73.99333333	40.7625	#meow #graffiti #art #cat #catsofinstagram #hellskitchen #nyc hell kitchen manhattan https//tco/bpwzqyk6iq
Dr. Sanjar G. Umarov	2016-04-16	3:30	-89.76521672	35.05824178	@joel57105 happi birth year
Hakuna Matata ❤	2016-04-16	3:30	-99.61308165	19.26060705	@yorkermetepec metepec estado de xico https//tco/okyy8fqip0
Aurora ☀️	2016-04-16	3:30	-110.88686	27.92411	show room de voil hoy estamo desd la 10 8 pm gracia por https//tco/dmsmr8jad0
Cyle	2016-04-16	3:30	-117.9173948	33.80791011	stellabr cylebr food wine festiv disney california adventur https//tco/tfypihdvl
GDR-Sports	2016-04-16	3:30	-85.82941443	39.78133696	sport prep roundup 4/16 16 https//tco/zgb7tzpua4
Scott Kline	2016-04-16	3:30	-118.387332	33.816963	lamb bolognes #nomediocr nage vingt @zazourestaur redondo beach ca https//tco/qwu9rniovh https//tco/xtrg9ggf3r
felix zavala	2016-04-16	3:30	-99.16264594	19.3521908	@labipocoyoacan coyoacan df https//tco/kvh0c638lb
Sean Pratt	2016-04-16	3:30	-118.158	33.8041	#dodgerblu long beach california https//tco/ox8ivjjbl
Kaci Beeler	2016-04-16	3:30	-97.74244817	30.26868014	great boy howdi show love peopl tech crew pictur https//tco/xhkxk9cbrg
Patrick J Yuke	2016-04-16	3:30	-122.3935715	37.79595483	know fish swim #baybridg view wait line https//tco/0fxbankexu
Colleen Kelsey	2016-04-16	3:30	-73.98736037	40.7222722	katz delicatessen https//tco/nipi7qjzog
every lot chicago	2016-04-16	3:30	-87.69999	42.01639	2801 west fargo avenu https//tco/n9hq5q6sqf
Emmediciotto	2016-04-16	3:30	-118.4115325	33.88447325	manahatan beach california  meet back itali moment inspir https//tco/eu8ejjo4if
GDR-Sports	2016-04-16	3:30	-85.82941443	39.78133696	sport mt vernon grad man behind scene purdu men hoop https//tco/amdlcl0rzo
Nevada City Weather	2016-04-16	3:30	-121.0544444	39.24222222	wind 10 mph nw baromet 30140 rise temperatur 546 f rain today 001 humid 34
pell lake weather	2016-04-16	3:30	-88.35805556	42.54	temp 477 f dew point 353 wind e 16 mph gust 31 rain today 000 pressur 3022 trend rise slowli
Cyril Frésillon	2016-04-16	3:30	-73.95767056	40.71467017	#nyc #williamsburg #brooklyn #bridg #bu #transportpubl #subway williamsburg nyc https//tco/2vfh1givk3
Rachel Mangum	2016-04-16	3:30	-85.48097175	34.83472479	miss way mom would come room rub back fell asleep miss https//tco/muvhr5qdvi
Jeffrey	2016-04-16	3:30	-122.248278	38.126265	never doll moment  knife #isitswollen kaiser permanent vallejo medic center https//tco/6cmagmvhx0
Reloaded ♻️	2016-04-16	3:30	-84.492793	33.599819	destini pregnant lawd
johnadeleon	2016-04-16	3:30	-101.8581533	33.59059931	@walmart supercent lubbock tx https//tco/bpbk6jdegt
AngieC	2016-04-16	3:30	-71.1036606	42.3883514	worshipp @bostonemiss #rumble2016 somervil https//tco/mydi1sutxz
John Napoli	2016-04-16	3:30	-74.21444444	40.13027778	howel nj wind 00 mph baro 30426 rise temp 412 f rain today 000 humid 77 https//tco/jrbhn6rgac
KD4NGC WX Station	2016-04-16	3:30	-83.07083333	33.03916667	2330 02 temp 556 f dew point 521 f rain today 036 inch wind 00 mph ene gust 00
Â Spoogy	2016-04-16	3:30	-91.1402	30.4581	bless aj tha barber #su19 #su19 #su18 #su17 #su16 #lsu19 #lsu18 #lsu17 #barber https//tco/dqv9lwcdvk
Sulay Castillo	2016-04-16	3:30	-99.19625871	19.42371089	merced benz fashion week @malafachabrand #mbfwmx mercedes-benz fashion week xico https//tco/moujxeu0b0
#TheSpeedBrand	2016-04-16	3:30	-84.3881	33.7489	captur @arantesstephen tonight #snapchat need 4lspeed #summersmin https//tco/a8eq6e3sw9
Mouton Cove Weather	2016-04-16	3:30	-92.218675	29.875016	688 f feel 688 f humid 88 wind 60 mph e gust 76 mph pressur 10089 mb rain 009 #weather https//tco/75yznjjevp
Đoko Bodiroga	2016-04-16	3:30	-118.4719922	33.98588006	la sunset venic beach https//tco/eojexlbbyg
Jen Busfield	2016-04-16	3:30	-79.052593	35.911217	lemon creme #crepe @parlezvouscrep tonight #chapelhil #nc #foodtruck #yummygood https//tco/wtw57eoxbc
Atlanta_Crime	2016-04-16	3:30	-84.392038	33.7532584	assault 00 block broad st sw atlanta ga via https//tco/bp2bx2w5oo  aggassault ucr 0410 rep  https//tco/zvqroexwc6
DTPG Los Angeles	2016-04-16	3:30	-118.2319336	34.0281792	tree base klear concentr treebaseklear https//tco/6rnrut3svz
Jackie AliXander	2016-04-16	3:30	-118.243	34.0522	#best pre game boost thank @yoitskeisha #nzmade #kiwisinla v #travellingdrink lo https//tco/qdxmvx128l
SHC Careers	2016-04-16	3:30	-114.0530065	35.189443	want work #kingman az view latest open https//tco/yq7kmwzpzb #healthcar #job #job #hire https//tco/5uuxabxui5
joseph mitchell. MBA	2016-04-16	3:30	-93.2812	44.8772	April 15
CRAZY LOS	2016-04-16	3:30	-117.3857727	33.9479599	#gainsallday #motivationtrain #burnfat #biuldmuscl #focu #gymrat #meathead #live2train https//tco/6vdcsloo7p
Miguel Hdz	2016-04-16	3:30	-100.2840315	25.68072139	#palnort parqu fundidora mti pal nort https//tco/ml6qyulvvd
Carl King	2016-04-16	3:30	-84.51194444	37.47472222	#trump 2016 temp 631 f wind 00 mph pressur 3015 hpa steadi rain today 004 forecast fine weather
Alan Clark	2016-04-16	3:30	-89.23388889	31.62277778	temp 610 f wind 03 mph pressur 30071 hpa rise rain today 000
The Black Madonna	2016-04-16	3:30	-116.32747	33.721067	king road frank place https//tco/avjcakydxk
Gabriela Velázquez	2016-04-16	3:30	-100.75	20.9167	danger thing happen  like zimmi zimmi https//tco/ji6lhjmptm
WorldStar DJGio	2016-04-16	3:30	-122.3461846	37.9494155	spin @spifftvfilm ft @yandelofici x @1futur #micombo #mysquad https//tco/wscotpqey9
Alan Clark	2016-04-16	3:30	-90.89833333	31.58694444	wind 10 mph wnw baromet 29984 rise temperatur 615 f rain today 002 humid 93
Kevin McKernan	2016-04-16	3:30	-105.2049484	40.0625305	post photo averi brew compani https//tco/azs2ugajia
Weirton Weather	2016-04-16	3:30	-80.59527778	40.43	temp 495 f w c 495 f wind 00 kt baro 10338 mb rise slowli rain today 000 r h 61 #wvwx
Emmilio Rius	2016-04-16	3:29	-106.0671884	28.6489142	la cerv el ma tradicion de sshihuahua la cerv @lacerv3 chihuahua chih https//tco/s3y1axwigc
Chaf's	2016-04-16	3:29	-99.15713143	19.43711987	@rod_guem la fogata benito ju rez df https//tco/jmf9wausoa
ALEX TV	2016-04-16	3:29	-105.235902	20.603622	mr flamingo https//tco/71nuaubkb4
Lightning	2016-04-16	3:29	-90.274088	38.687859	post video special tyme banquet hall https//tco/iowpbvhtbu
JS	2016-04-16	3:29	-100.2783809	25.76911126	buffalo wild wing @bwwingsmx san nicol de lo garza nuevo le n https//tco/p2fawjnuzv
Dom Shizz	2016-04-16	3:29	-75.151668	40.009388	#repost @erieavedotcom repostapp @domshizz #openm @erieavedotcom everi https//tco/fmthehfqpt
Comerahora.com	2016-04-16	3:29	-116.6101303	31.8656044	movi night con imaginant film zarafa la tarima sica caf https//tco/8hksqolk9u
Rodrigo y así	2016-04-16	3:29	-99.10096355	19.32918236	lienzo charro lo pirul ciudad de xico distrito feder w @erikfellini https//tco/wyoznhtftl
not ur average salsa	2016-04-16	3:29	-87.64766229	41.91782027	@lord_vulva miss love
Ricardo Salarich	2016-04-16	3:29	-99.20141721	19.43887819	umbrella  #pincheosoartista plaza antarapolanco https//tco/l4yl62rumm
SKULLITOR.	2016-04-16	3:29	-75.23265723	43.10134935	radisson hotel-utica centr utica ny w @rudolph1keith @i80queen @ifly2ifli https//tco/dvpkweuhbi
Athena Jean salon	2016-04-16	3:29	-117.2856736	34.47148571	#tranform #tgif #hairbyjeanmcswain #athenajeansalonandspa #blond #springvalleylak https//tco/ytgstyi9yh
Orlando Rodriguez	2016-04-16	3:29	-81.58962481	28.35592086	hab dado cuenta de que ese dinosaurio no hizo un photo bomb  https//tco/ak14myxsfi
ExclusiveCuts	2016-04-16	3:29	-106.28815	31.74407	readi club make appoint https//tco/hpaqklokn https//tco/1y9lfm4m3u
Juan Carlos Rihani A	2016-04-16	3:29	-89.61424	21.00381	probando lo taco rabe  la harbapapa harbano taco arab https//tco/mtjb2tqjrw
Ape Fit	2016-04-16	3:29	-118.4668391	33.97908265	noth quit like sound crash wave https//tco/2iiyi9wxxj #nevermissasunset https//tco/cvwdlq5or1
R Henderson-Espinoza	2016-04-16	3:29	-122.274136	37.800439	happen question unintellig left church https//tco/bd6u7q7yez
Joe Eversole	2016-04-16	3:29	-86.29765034	39.71517597	back home etc indianapoli intern airport ind @indairport indianapoli https//tco/yyl5jhjvn5
James Pickens	2016-04-16	3:29	-95.561081	29.780033	readi go #origineffect #bergantinoaudio #mesaboogi #darkglasselectron monnalisa bar https//tco/v5yn1z43do
Savor the Moment	2016-04-16	3:29	-122.0168142	37.3227351	#japanes foodi time #onepot #cupertino friend hubbi #goodtim #siliconvalley https//tco/aed9dnniqf
A Bulldozer.Com	2016-04-16	3:29	-118.242	34.0463	delici hope regular drink tamber amber @mumfordbrew @mumfordbrew https//tco/z3qejh10mf #photo
Krunch One	2016-04-16	3:29	-80.21000683	25.91520846	tonight @blazecater58_ take south beach support would like host https//tco/uczkrlnty
Robin	2016-04-16	3:29	-80.1328049	25.7798595	post photo la quinta live music bar miami https//tco/j5nj6gc3d1
cheyenne	2016-04-16	3:29	-81.57453021	28.33970236	sophia srri post #disnay disney all-star music https//tco/uamrmyflnk
melsenpai	2016-04-16	3:29	-122.3958138	37.79719141	start good friday bourbon base derbi cocktail alway good idea #sf https//tco/4ocv3i3dxc
Yoshiko Mishina	2016-04-16	3:29	-83.7796	42.1709	got purpl color artichok nearbi groceri store https//tco/j7ndcdlay
Haley Heintschel	2016-04-16	3:29	-122.8327918	38.40664053	two prune pod #prune prune farm studio https//tco/mqtru0jb9o
航也	2016-04-16	3:29	-76.6152954	39.2972488	#wasingtondc washington monument https//tco/ytkinhbwoj
Grace Gonzalez	2016-04-16	3:29	-118.43738	34.0600499	cheez-it fri chicken grit #havingsomefun #blvd16 #friedchicken #roastedkitchen #laeat https//tco/0bmoud84au
Leiane C	2016-04-16	3:29	-85.67247	30.19016	head play #rent #gulfcoaststatecolleg el jalisco panama https//tco/nfolqvmntm
Join Lab Support	2016-04-16	3:29	-105.0372046	39.8366528	want work #westminst co view latest open https//tco/j4shrzstgb #sale #job #job #hire
Richie Nakano⛈	2016-04-16	3:29	-122.08984	37.9916399	never let child pick background pose pictur day osca-asap-careonsit https//tco/3ldxdlt8t1
NOTORIOUS. D.I.G	2016-04-16	3:29	-95.405988	29.738482	#chocolatebar twice week chocol bar https//tco/0ird7pkolf
Bridgestone Arena	2016-04-16	3:29	-86.77794512	36.15936801	absolut class @mumfordandson kick weekend right sold-out #nashvil crowd https//tco/17yfjsfqdt
polynesian_metal	2016-04-16	3:29	-122.4062288	37.78134829	special @tempestbarsf san francisco ca https//tco/ayg0fisshv https//tco/xxvzw2zouy
T.M. Waltman	2016-04-16	3:29	-117.3140487	33.91506516	hello new friend pleas connect
mikaela	2016-04-16	3:29	-93.21063808	44.91596934	let go find neatur squad minnehaha fall https//tco/rif9yzestl
Oakville Harbour Wx	2016-04-16	3:29	-79.66611111	43.44111111	#oakvil 2330 nne 37 kt g12 6kt 102849 hpa rise slowli 85 c fall dp -25 c rh46 https//tco/cg0w2x8a3b
melyy garcia	2016-04-16	3:29	-100.3857094	25.67158911	el mejor acompa anat #bodaa atlanti evento https//tco/9xljaw60dm
Kayley Greene | ΑΣΤ	2016-04-16	3:29	-84.40404	33.65631	ate burger chick-fil-a origin chick-fil-a https//tco/4bq5qqfh5z
(Wez) Cesar Sanchez	2016-04-16	3:29	-121.873	37.3041	san jose california https//tco/5uy3nbpahd
Jezuz	2016-04-16	3:29	-119.2974981	34.2750286	fugaaaa surfer point ventura pier https//tco/0vttgrkmgn
GIL	2016-04-16	3:28	-96.82697	32.74959	kick #bishopart #303 fam friend 303 bar grill https//tco/2jcvymflwp
DayJobsNightLife	2016-04-16	3:28	-73.5660858	45.5074539	love #printemp #printtmpsmac #macm #montreal #madonna #mtl #downtown #mac #museum https//tco/pdwsxiacqp
Slattery Irish Dance	2016-04-16	3:28	-74.82526	40.87075	#slatteryirishd #irishd #slatteri #irishdanceinhackettstownnj slatteri school https//tco/onevelqtt3
Ginny Bates	2016-04-16	3:28	-120.7502948	35.67966339	great day justin wineri happi birthday rich rector #isoscel https//tco/vby2ozctgc
Johnjay Van Es	2016-04-16	3:28	-112.022395	33.680854	ate whole box @of cheddar squar salad first tho #loveup reach 11 https//tco/t2vj6rnwpc
Pichis Boy	2016-04-16	3:28	-99.146746	19.450321	#yaviquemequier te haga pendejo
mblatch	2016-04-16	3:28	-122.42	37.7453	drink supplic russian river brew compani bel https//tco/m8uragaq5m
John Mathews	2016-04-16	3:28	-93.79194444	32.47555556	nitro hang awesom show tonight fellow realli enjoy lot #nitrocircu https//tco/4ohb74rfsg
DJMAUROLTP	2016-04-16	3:28	-74.4456816	39.35337171	flashback friday @rirairishpub @djmauroltp #mglondono #ltpdj https//tco/dgsfwnli1r
Tonality Records	2016-04-16	3:28	-79.45028	43.65353	lot fun anyon line tomorrow #rsd open 8am  150 titl came https//tco/e7qr2uzpvl
Chuy Garcia	2016-04-16	3:28	-100.2855901	25.68078792	tranki @palnorteofici monterrey nle nuevo le n https//tco/tflf1esqmz
M.C. LOGIC	2016-04-16	3:28	-77.333892	38.850514	#playitforward 1 year anniversari epicur cafe https//tco/0niqaywei8
511 New York	2016-04-16	3:28	-73.938138	40.749776	construct #7line direct queensboro plaza station 42nd street-tim squar station https//tco/ha4osxxf8a
511NY 7 Lines	2016-04-16	3:28	-73.938138	40.749776	construct #7line direct queensboro plaza station 42nd street-tim squar station https//tco/71wcpjiwcj
Tyco Careers	2016-04-16	3:28	-79.3839069	43.653524	recommend anyon #sale #job https//tco/7d7oaqwwjj #toronto #hire https//tco/thaajmdxnw
Daniella Ianni	2016-04-16	3:28	-72.0898991	41.49164921	colleg bless best friend could ever ask https//tco/app6tgeu4t
❀BrookeDoblasxox1❀	2016-04-16	3:28	-99.1333	19.4333	su ojot mexico citi mexico https//tco/vqgmsednh9
Dillon Riley	2016-04-16	3:28	-71.11967562	42.40680094	palm best band world tuft univers https//tco/lszocq1jyz
Sweet Grass Kitchen	2016-04-16	3:28	-104.9883034	39.7406646	mind #420launchparti #colorado #getdown #tgif #sweetgrasskitchen denver https//tco/kfdp7q3j7f
Robyn Fenty	2016-04-16	3:28	-82.59803	27.44289	group gather togeth bea_schrott birthday happi birthday bea hope made https//tco/b9rftlnvhb
Valeria Gutierrez	2016-04-16	3:28	-110.9500087	29.06629668	en busca del traje perfecto sear hermosillo sonora https//tco/kmbfquqgov
Cory Landis	2016-04-16	3:28	-84.51149	39.12733	guy outstand tonight proud know call friend check https//tco/t56n0hjqvx
Superstar SEO	2016-04-16	3:28	-78.89566	33.7143299	bad mid day work 14 hour far today workout nowher near use https//tco/iapjiw5zc6
Jessica Velez	2016-04-16	3:28	-100.4529675	25.66010184	le sigo taco del vado https//tco/lnv0e3owkc
Fred Giovannitti	2016-04-16	3:28	-76.61622	39.28559	hey #baltimor come see good buddi @fritzal #baltimoretattooconvent https//tco/kncolkh0kh
Daniel So. Alvirde	2016-04-16	3:28	-98.89137085	19.47708547	llese la orilla texcoco-texcoco https//tco/8sdxpc3srb
Morgan LeAnne	2016-04-16	3:28	-87.019007	34.58041	weird taller shi golf shore https//tco/wtshpvu7y0
Ape Fit	2016-04-16	3:28	-118.4668391	33.97908265	walk beach sooth soul  https//tco/2iiyi9wxxj #nevermissasunset https//tco/1afevdfnka
tweetnignantish	2016-04-16	3:28	-76.24760628	38.97097077	drop 4 dumb ass break kent narrow bridg grasonvil md https//tco/ijwaqtpyz0
Hannah Taylor	2016-04-16	3:28	-87.54630699	33.209621	kidnap kristen univers alabama https//tco/riugltbvlb
☤Ash-a-lee☤	2016-04-16	3:28	-119.6985361	34.40648889	#happi #queen #collegelif santa barbara citi colleg https//tco/rgot3svpnc
Luis Armando Márquez	2016-04-16	3:28	-99.23260685	19.51356542	ella beer box satelit https//tco/5ttsusox2w
Bash Org	2016-04-16	3:28	-123.0116833	37.69935098	<kyle|> stronger program men world
Siale Langi	2016-04-16	3:28	-97.08253	32.7513099	happi jacki robinson day #basebal #texasrang #mlb #jackierobinsonday #42 globe life https//tco/664jd6hdjk
S A B I	2016-04-16	3:28	-81.47196142	28.45151342	cuando el te quier comprar store florida mall https//tco/reg4rfh5v2
Bubu Veneno☠	2016-04-16	3:28	-96.11559324	19.16368824	la camita https//tco/yzpvhqiasg
Vanessa Schrader	2016-04-16	3:28	-90.32997019	38.66501887	thank sam awesom flynn park gotrstl team https//tco/wulbdqbc
Federica	2016-04-16	3:28	-110.9933539	29.1091784	cum w @noxramo https//tco/hx5f2pdq6v
Noah Williams	2016-04-16	3:28	-115.1695796	36.10258958	like ever like let git ok #letzgitit #letsgitit #letsgetit #letzgitit https//tco/iffb3mfx01
Caio Dias	2016-04-16	3:28	-79.42056788	43.63857233	trabalho da noit limpeza fa junto com um cara come servi ele avis que se atrasaria 3hr depoi que n iria
Luis Arturo Saucedo	2016-04-16	3:28	-82.4646	27.9709	una copa de vino sol pasi n por el trabajo  un privilegio ser part de @brc_standard https//tco/jplbbamjto
